185	PR_052	(0)	18	0.047	0.953
186	PR_053	(0)	18	0.016	0.984
187	PR_054	(0)	18	0.016	0.984
188	PR_055	(0)	18	0.021	0.979
189	PR_056	(0)	18	0.043	0.957
190	PR_057	(0)	18	0.084	0.916
191	Sedh_001	(0)	19	0.591	0.409
192	Sedh_003	(0)	19	0.999	0.001
193	Sedh_004	(1)	19	1.000	0.000
194	Sedh_005	(0)	19	0.557	0.443
195	Sedh_006	(1)	19	1.000	0.000
196	Sedh_007	(1)	19	0.963	0.037
197	Sedh_009	(1)	19	1.000	0.000
198	Sedh_010	(3)	19	0.987	0.013
199	Sedh_011	(0)	19	0.680	0.320
200	Sedh_012	(1)	19	1.000	0.000
201	Sedh_013	(1)	19	0.761	0.239
202	Sedh_02	(0)	19	0.998	0.002
203	TH_01	(0)	20	0.000	1.000
204	TH_02	(0)	20	0.001	0.999
205	TH_03	(0)	20	0.000	1.000
206	TH_04	(0)	20	0.000	1.000
207	TH_05	(0)	20	0.000	1.000
208	TH_06	(0)	20	0.000	1.000
209	TH_07	(0)	20	0.000	1.000
210	TH_08	(0)	20	0.000	1.000
211	TH_09	(2)	20	0.002	0.998
212	TH_10	(0)	20	0.000	1.000
213	TH_11	(0)	20	0.000	1.000
214	TapaN_001	(1)	21	0.026	0.974
215	TapaN_002	(0)	21	0.029	0.971
216	TapaN_003	(0)	21	0.035	0.965
217	TapaN_004	(0)	21	0.043	0.957
218	TapaN_005	(0)	21	0.046	0.954
219	TapaN_006	(2)	21	0.078	0.922
220	TapaN_007	(0)	21	0.065	0.935
221	TapaN_008	(0)	21	0.030	0.970
222	TapaN_009	(0)	21	0.079	0.921
223	TapaN_010	(1)	21	0.038	0.962
224	TapaN_011	(0)	21	0.021	0.979
225	TapaN_012	(0)	21	0.058	0.942
226	Tucs_01	(0)	22	0.195	0.805
227	Tucs_02	(0)	22	0.313	0.687
228	Tucs_03	(0)	22	0.160	0.840
229	Tucs_04	(0)	22	0.235	0.765
230	Tucs_05	(0)	22	0.186	0.814
231	Tucs_06	(0)	22	0.155	0.845
232	Tucs_07	(0)	22	0.133	0.867
233	Tucs_08	(1)	22	0.168	0.832
234	Tucs_09	(0)	22	0.172	0.828
235	Tucs_10	(0)	22	0.180	0.820
236	Tucs_11	(0)	22	0.224	0.776
237	Tucs_12	(0)	22	0.131	0.869
