104	Jac_002	(0)	14	0.037	0.007	0.003	0.025	0.000	0.010	0.917
105	Jac_003	(0)	14	0.000	0.000	0.035	0.000	0.000	0.004	0.961
106	Jac_004	(0)	14	0.022	0.009	0.000	0.002	0.000	0.000	0.967
107	Jac_005	(0)	14	0.010	0.000	0.000	0.001	0.000	0.000	0.989
108	Jac_006	(0)	14	0.000	0.000	0.000	0.028	0.016	0.000	0.955
109	Jac_007	(0)	14	0.001	0.000	0.000	0.003	0.000	0.000	0.996
110	Jac_008	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
111	Jac_009	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
112	Jac_010	(0)	14	0.028	0.002	0.000	0.081	0.000	0.006	0.882
113	Jac_011	(0)	14	0.000	0.000	0.000	0.001	0.001	0.000	0.997
114	Jac_012	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
115	Jac_013	(0)	14	0.000	0.000	0.000	0.038	0.000	0.000	0.962
116	Jac_014	(0)	14	0.006	0.000	0.000	0.037	0.001	0.000	0.956
117	Jac_015	(0)	14	0.001	0.001	0.000	0.018	0.005	0.000	0.975
118	Jac_016	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
119	Jac_017	(0)	14	0.014	0.000	0.000	0.000	0.000	0.000	0.986
120	Jac_018	(0)	14	0.010	0.000	0.000	0.000	0.000	0.021	0.967
121	Jac_019	(0)	14	0.016	0.000	0.000	0.000	0.000	0.000	0.983
122	Jac_020	(0)	14	0.007	0.000	0.000	0.053	0.001	0.001	0.938
123	Jac_021	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
124	Jac_022	(0)	14	0.000	0.000	0.040	0.000	0.000	0.000	0.959
125	Jac_023	(0)	14	0.051	0.000	0.000	0.000	0.000	0.000	0.948
126	Jac_024	(0)	14	0.000	0.000	0.007	0.028	0.000	0.000	0.964
127	Jac_025	(0)	14	0.001	0.000	0.002	0.003	0.000	0.000	0.994
128	Jac_026	(0)	14	0.076	0.000	0.000	0.000	0.000	0.000	0.923
129	Jac_027	(0)	14	0.001	0.000	0.000	0.003	0.000	0.020	0.975
130	Jac_028	(0)	14	0.024	0.000	0.001	0.000	0.000	0.001	0.974
131	Jac_036	(0)	14	0.403	0.051	0.001	0.433	0.028	0.039	0.045
132	Jac_041	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
133	Jac_076	(0)	14	0.000	0.000	0.000	0.001	0.000	0.000	0.999
134	Jac_078	(0)	14	0.000	0.000	0.000	0.080	0.000	0.000	0.918
135	Jac_079	(0)	14	0.002	0.003	0.000	0.040	0.000	0.000	0.954
136	Jac_081	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
137	Jac_082	(0)	14	0.021	0.000	0.000	0.000	0.000	0.001	0.976
138	Jac_083	(0)	14	0.000	0.000	0.014	0.001	0.000	0.001	0.983
139	Jac_086	(0)	14	0.000	0.000	0.000	0.010	0.001	0.001	0.987
140	Jac_090	(0)	14	0.000	0.000	0.000	0.000	0.000	0.000	0.999
141	Jac_091	(0)	14	0.000	0.000	0.000	0.001	0.001	0.000	0.998
142	Jac_092	(0)	14	0.001	0.000	0.000	0.008	0.001	0.000	0.990
143	Jac_094	(0)	14	0.000	0.000	0.000	0.002	0.000	0.000	0.997
144	Lun_001	(1)	15	0.000	0.999	0.000	0.000	0.001	0.000	0.000
145	Lun_008	(1)	15	0.003	0.995	0.000	0.000	0.001	0.001	0.000
146	Lun_009	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
147	Lun_010	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
148	Lun_011	(0)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
149	Lun_012	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
150	Lun_013	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
151	Lun_014	(1)	15	0.008	0.987	0.001	0.000	0.003	0.001	0.000
152	Lun_015	(3)	15	0.022	0.939	0.005	0.000	0.031	0.001	0.001
153	Lun_016	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
154	Lun_017	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
155	Lun_02	(1)	15	0.000	1.000	0.000	0.000	0.000	0.000	0.000
156	Mar_001	(0)	16	0.000	0.000	0.033	0.310	0.049	0.001	0.607
157	Mar_003	(0)	16	0.003	0.000	0.088	0.393	0.000	0.041	0.474
158	Mar_004	(0)	16	0.000	0.000	0.026	0.364	0.024	0.009	0.578
159	Mar_005	(0)	16	0.027	0.000	0.068	0.328	0.000	0.091	0.486
160	Mar_006	(0)	16	0.029	0.000	0.116	0.318	0.000	0.021	0.516
161	Mar_007	(0)	16	0.001	0.000	0.083	0.376	0.000	0.038	0.502
162	Mar_008	(0)	16	0.000	0.000	0.050	0.424	0.029	0.000	0.497
163	Mar_009	(0)	16	0.015	0.007	0.071	0.316	0.001	0.055	0.536
164	Mar_011	(0)	16	0.004	0.000	0.043	0.400	0.013	0.027	0.512
165	Mar_012	(0)	16	0.002	0.000	0.061	0.349	0.009	0.048	0.530
166	Mar_013	(0)	16	0.036	0.001	0.027	0.456	0.037	0.048	0.395
167	Mar_02	(0)	16	0.101	0.000	0.063	0.329	0.000	0.044	0.462
168	NK_001	(12)	17	0.207	0.105	0.068	0.455	0.009	0.069	0.086
