166	Mar_013	(0)	16	0.052	0.392	0.034	0.049	0.470	0.003
167	Mar_02	(0)	16	0.049	0.468	0.071	0.127	0.285	0.000
168	NK_001	(12)	17	0.073	0.088	0.073	0.235	0.424	0.107
169	NK_002	(0)	17	0.064	0.098	0.021	0.064	0.712	0.042
170	NK_004	(2)	17	0.062	0.106	0.029	0.024	0.778	0.001
171	NK_006	(7)	17	0.058	0.161	0.041	0.073	0.620	0.047
172	NK_007	(0)	17	0.044	0.119	0.056	0.002	0.774	0.005
173	NK_008	(2)	17	0.109	0.150	0.020	0.023	0.672	0.026
174	NK_011	(3)	17	0.056	0.123	0.020	0.066	0.712	0.023
175	NK_012	(23)	17	0.110	0.067	0.140	0.082	0.448	0.154
176	NK_013	(2)	17	0.050	0.109	0.040	0.020	0.778	0.003
177	NK_016	(0)	17	0.073	0.091	0.017	0.074	0.745	0.001
178	NK_019	(0)	17	0.055	0.051	0.014	0.208	0.609	0.063
179	PR_045	(0)	18	0.094	0.168	0.102	0.057	0.571	0.008
180	PR_046	(0)	18	0.152	0.215	0.107	0.057	0.467	0.003
181	PR_047	(0)	18	0.095	0.194	0.111	0.037	0.563	0.000
182	PR_048	(0)	18	0.075	0.197	0.092	0.000	0.634	0.002
183	PR_049	(0)	18	0.106	0.202	0.100	0.002	0.591	0.001
184	PR_051	(0)	18	0.047	0.216	0.175	0.063	0.472	0.026
185	PR_052	(0)	18	0.073	0.141	0.159	0.123	0.502	0.001
186	PR_053	(0)	18	0.086	0.277	0.134	0.077	0.426	0.000
187	PR_054	(0)	18	0.108	0.179	0.146	0.075	0.491	0.000
188	PR_055	(0)	18	0.072	0.192	0.163	0.076	0.496	0.000
189	PR_056	(0)	18	0.067	0.196	0.140	0.007	0.579	0.010
190	PR_057	(0)	18	0.107	0.134	0.120	0.228	0.401	0.010
191	Sedh_001	(0)	19	0.032	0.037	0.001	0.006	0.366	0.559
192	Sedh_003	(0)	19	0.000	0.000	0.000	0.000	0.000	0.998
193	Sedh_004	(1)	19	0.000	0.000	0.000	0.000	0.000	1.000
194	Sedh_005	(0)	19	0.014	0.090	0.002	0.086	0.288	0.519
195	Sedh_006	(1)	19	0.000	0.000	0.000	0.000	0.000	1.000
