157	Mar_003	(0)	16	0.046	0.000	0.321	0.524	0.109
158	Mar_004	(0)	16	0.026	0.000	0.240	0.681	0.053
159	Mar_005	(0)	16	0.097	0.000	0.302	0.522	0.079
160	Mar_006	(0)	16	0.032	0.000	0.280	0.556	0.132
161	Mar_007	(0)	16	0.047	0.000	0.289	0.557	0.107
162	Mar_008	(0)	16	0.000	0.000	0.316	0.598	0.085
163	Mar_009	(0)	16	0.059	0.006	0.278	0.575	0.082
164	Mar_011	(0)	16	0.038	0.000	0.323	0.575	0.064
165	Mar_012	(0)	16	0.060	0.000	0.275	0.581	0.084
166	Mar_013	(0)	16	0.060	0.001	0.388	0.492	0.059
167	Mar_02	(0)	16	0.051	0.000	0.367	0.502	0.079
168	NK_001	(12)	17	0.077	0.114	0.588	0.141	0.080
169	NK_002	(0)	17	0.067	0.037	0.625	0.219	0.052
170	NK_004	(2)	17	0.076	0.002	0.631	0.234	0.057
171	NK_006	(7)	17	0.071	0.047	0.567	0.262	0.052
172	NK_007	(0)	17	0.065	0.004	0.573	0.261	0.096
173	NK_008	(2)	17	0.123	0.025	0.563	0.251	0.038
174	NK_011	(3)	17	0.070	0.025	0.623	0.240	0.042
175	NK_012	(23)	17	0.116	0.154	0.443	0.128	0.159
176	NK_013	(2)	17	0.070	0.003	0.604	0.241	0.081
177	NK_016	(0)	17	0.084	0.001	0.652	0.219	0.044
178	NK_019	(0)	17	0.062	0.070	0.702	0.145	0.021
179	PR_045	(0)	18	0.106	0.010	0.508	0.259	0.117
180	PR_046	(0)	18	0.162	0.005	0.438	0.277	0.119
181	PR_047	(0)	18	0.106	0.000	0.508	0.261	0.125
182	PR_048	(0)	18	0.092	0.005	0.471	0.312	0.120
183	PR_049	(0)	18	0.120	0.001	0.460	0.300	0.120
184	PR_051	(0)	18	0.056	0.028	0.454	0.273	0.190
185	PR_052	(0)	18	0.082	0.004	0.539	0.199	0.176
186	PR_053	(0)	18	0.093	0.000	0.438	0.321	0.148
187	PR_054	(0)	18	0.117	0.000	0.484	0.237	0.162
188	PR_055	(0)	18	0.082	0.000	0.498	0.244	0.176
189	PR_056	(0)	18	0.078	0.012	0.488	0.278	0.145
190	PR_057	(0)	18	0.110	0.018	0.566	0.181	0.126
191	Sedh_001	(0)	19	0.038	0.557	0.304	0.100	0.001
192	Sedh_003	(0)	19	0.000	0.999	0.000	0.001	0.000
193	Sedh_004	(1)	19	0.000	1.000	0.000	0.000	0.000
194	Sedh_005	(0)	19	0.023	0.523	0.315	0.136	0.003
195	Sedh_006	(1)	19	0.000	1.000	0.000	0.000	0.000
196	Sedh_007	(1)	19	0.012	0.961	0.008	0.018	0.000
197	Sedh_009	(1)	19	0.000	1.000	0.000	0.000	0.000
198	Sedh_010	(3)	19	0.003	0.985	0.001	0.001	0.010
199	Sedh_011	(0)	19	0.044	0.662	0.194	0.095	0.004
200	Sedh_012	(1)	19	0.000	0.999	0.000	0.000	0.000
201	Sedh_013	(1)	19	0.025	0.746	0.147	0.071	0.011
202	Sedh_02	(0)	19	0.003	0.995	0.001	0.001	0.000
203	TH_01	(0)	20	0.049	0.000	0.000	0.006	0.945
204	TH_02	(0)	20	0.072	0.000	0.000	0.001	0.927
205	TH_03	(0)	20	0.033	0.000	0.000	0.000	0.967
206	TH_04	(0)	20	0.000	0.000	0.000	0.000	0.999
207	TH_05	(0)	20	0.000	0.000	0.000	0.000	1.000
208	TH_06	(0)	20	0.072	0.000	0.001	0.050	0.877
209	TH_07	(0)	20	0.000	0.000	0.000	0.000	0.999
210	TH_08	(0)	20	0.000	0.000	0.000	0.000	1.000
211	TH_09	(2)	20	0.057	0.001	0.001	0.021	0.920
212	TH_10	(0)	20	0.000	0.000	0.000	0.000	1.000
213	TH_11	(0)	20	0.003	0.000	0.000	0.000	0.997
214	TapaN_001	(1)	21	0.001	0.000	0.834	0.164	0.001
215	TapaN_002	(0)	21	0.090	0.000	0.821	0.086	0.004
216	TapaN_003	(0)	21	0.001	0.000	0.793	0.205	0.001
217	TapaN_004	(0)	21	0.001	0.000	0.842	0.156	0.001
218	TapaN_005	(0)	21	0.013	0.000	0.792	0.194	0.001
219	TapaN_006	(2)	21	0.019	0.001	0.848	0.131	0.000
220	TapaN_007	(0)	21	0.008	0.000	0.926	0.062	0.004
221	TapaN_008	(0)	21	0.000	0.000	0.722	0.257	0.020
222	TapaN_009	(0)	21	0.042	0.001	0.801	0.156	0.000
223	TapaN_010	(1)	21	0.009	0.000	0.843	0.148	0.001
224	TapaN_011	(0)	21	0.071	0.000	0.799	0.099	0.031
225	TapaN_012	(0)	21	0.000	0.000	0.885	0.112	0.002
226	Tucs_01	(0)	22	0.012	0.069	0.910	0.007	0.002
227	Tucs_02	(0)	22	0.000	0.161	0.839	0.000	0.000
228	Tucs_03	(0)	22	0.002	0.015	0.979	0.004	0.000
229	Tucs_04	(0)	22	0.000	0.083	0.917	0.000	0.000
230	Tucs_05	(0)	22	0.008	0.043	0.948	0.000	0.000
231	Tucs_06	(0)	22	0.000	0.027	0.941	0.021	0.011
232	Tucs_07	(0)	22	0.020	0.034	0.898	0.048	0.001
233	Tucs_08	(1)	22	0.002	0.030	0.967	0.001	0.000
234	Tucs_09	(0)	22	0.000	0.036	0.961	0.000	0.001
235	Tucs_10	(0)	22	0.000	0.051	0.948	0.000	0.000
236	Tucs_11	(0)	22	0.000	0.060	0.939	0.000	0.000
237	Tucs_12	(0)	22	0.023	0.037	0.889	0.029	0.022
