139	Jac_086	(0)	14	0.002	0.001	0.997	0.000
140	Jac_090	(0)	14	0.000	0.000	0.999	0.000
141	Jac_091	(0)	14	0.001	0.000	0.999	0.000
142	Jac_092	(0)	14	0.001	0.000	0.998	0.000
143	Jac_094	(0)	14	0.001	0.000	0.999	0.000
144	Lun_001	(1)	15	0.000	0.000	0.000	1.000
145	Lun_008	(1)	15	0.000	0.000	0.000	0.999
146	Lun_009	(1)	15	0.000	0.000	0.000	1.000
147	Lun_010	(1)	15	0.000	0.000	0.000	1.000
148	Lun_011	(0)	15	0.000	0.000	0.000	1.000
149	Lun_012	(1)	15	0.000	0.000	0.000	1.000
150	Lun_013	(1)	15	0.000	0.000	0.000	1.000
151	Lun_014	(1)	15	0.002	0.002	0.000	0.996
152	Lun_015	(3)	15	0.018	0.015	0.002	0.965
153	Lun_016	(1)	15	0.000	0.000	0.000	1.000
154	Lun_017	(1)	15	0.000	0.000	0.000	1.000
155	Lun_02	(1)	15	0.000	0.000	0.000	1.000
156	Mar_001	(0)	16	0.224	0.076	0.698	0.002
157	Mar_003	(0)	16	0.311	0.163	0.526	0.000
158	Mar_004	(0)	16	0.231	0.085	0.684	0.000
159	Mar_005	(0)	16	0.301	0.173	0.525	0.000
160	Mar_006	(0)	16	0.270	0.173	0.557	0.000
161	Mar_007	(0)	16	0.280	0.161	0.559	0.000
162	Mar_008	(0)	16	0.308	0.089	0.603	0.000
163	Mar_009	(0)	16	0.274	0.143	0.578	0.006
164	Mar_011	(0)	16	0.313	0.111	0.576	0.000
165	Mar_012	(0)	16	0.268	0.149	0.584	0.000
166	Mar_013	(0)	16	0.389	0.115	0.495	0.001
167	Mar_02	(0)	16	0.362	0.133	0.504	0.000
168	NK_001	(12)	17	0.594	0.149	0.144	0.113
169	NK_002	(0)	17	0.632	0.109	0.223	0.036
170	NK_004	(2)	17	0.632	0.128	0.238	0.002
171	NK_006	(7)	17	0.568	0.119	0.266	0.047
172	NK_007	(0)	17	0.565	0.167	0.264	0.004
173	NK_008	(2)	17	0.572	0.149	0.255	0.025
174	NK_011	(3)	17	0.623	0.108	0.244	0.025
175	NK_012	(23)	17	0.451	0.264	0.130	0.154
176	NK_013	(2)	17	0.597	0.156	0.244	0.003
177	NK_016	(0)	17	0.662	0.114	0.223	0.001
178	NK_019	(0)	17	0.710	0.071	0.150	0.069
