88	Goud_005	(1)	12	0.032	0.029	0.711	0.005	0.004	0.000	0.001	0.217
89	Goud_006	(0)	12	0.017	0.001	0.636	0.000	0.003	0.000	0.002	0.341
90	Goud_007	(0)	12	0.002	0.003	0.601	0.001	0.004	0.000	0.000	0.389
91	Goud_008	(1)	12	0.000	0.000	0.734	0.000	0.001	0.000	0.000	0.265
92	Goud_009	(0)	12	0.011	0.000	0.414	0.000	0.060	0.000	0.000	0.514
93	Goud_010	(0)	12	0.004	0.058	0.579	0.004	0.043	0.001	0.018	0.294
94	Goud_011	(1)	12	0.000	0.000	0.578	0.000	0.000	0.000	0.000	0.421
95	Goud_012	(0)	12	0.020	0.002	0.576	0.001	0.009	0.000	0.008	0.384
96	Goud_02	(0)	12	0.004	0.000	0.375	0.000	0.005	0.000	0.000	0.614
97	HW_001	(0)	13	0.010	0.002	0.000	0.059	0.897	0.025	0.006	0.001
98	HW_002	(0)	13	0.000	0.000	0.000	0.000	0.999	0.000	0.000	0.000
99	HW_003	(2)	13	0.005	0.000	0.000	0.062	0.912	0.009	0.010	0.001
100	HW_004	(0)	13	0.000	0.007	0.000	0.005	0.987	0.000	0.000	0.000
101	HW_016	(0)	13	0.000	0.000	0.000	0.000	0.999	0.000	0.000	0.000
102	HW_019	(0)	13	0.002	0.076	0.000	0.028	0.892	0.000	0.001	0.001
103	Jac_001	(0)	14	0.970	0.000	0.000	0.000	0.000	0.000	0.000	0.030
104	Jac_002	(0)	14	0.895	0.002	0.007	0.000	0.041	0.042	0.009	0.004
105	Jac_003	(0)	14	0.942	0.001	0.000	0.003	0.052	0.000	0.002	0.000
106	Jac_004	(0)	14	0.931	0.000	0.006	0.000	0.000	0.019	0.000	0.043
107	Jac_005	(0)	14	0.976	0.000	0.000	0.000	0.000	0.012	0.002	0.010
108	Jac_006	(0)	14	0.919	0.000	0.000	0.000	0.000	0.000	0.001	0.078
109	Jac_007	(0)	14	0.967	0.000	0.000	0.000	0.000	0.001	0.002	0.030
110	Jac_008	(0)	14	0.996	0.000	0.000	0.000	0.000	0.000	0.000	0.003
111	Jac_009	(0)	14	0.998	0.000	0.000	0.000	0.000	0.000	0.000	0.002
112	Jac_010	(0)	14	0.856	0.011	0.002	0.000	0.000	0.035	0.002	0.093
113	Jac_011	(0)	14	0.963	0.000	0.000	0.000	0.000	0.000	0.000	0.036
114	Jac_012	(0)	14	0.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000
